"ecosystem_type","name2","realm","metric","value"
"Soft Bottom","KULA","Marine","pct_change_2013_2016",0
"Soft Bottom","KULA","Marine","pct_change_2013_2019",0
"Soft Bottom","KULA","Marine","pct_change_2016_2019",0
"Soft Bottom","LAHAINA","Marine","area_km2_2013",20.23
"Soft Bottom","LAHAINA","Marine","area_km2_2016",20.23
"Soft Bottom","LAHAINA","Marine","area_km2_2019",20.23
"Soft Bottom","LAHAINA","Marine","change_km2_2013_2016",0
"Soft Bottom","LAHAINA","Marine","change_km2_2013_2019",0
"Soft Bottom","LAHAINA","Marine","change_km2_2016_2019",0
"Soft Bottom","LAHAINA","Marine","dir_2013_2016",0
"Soft Bottom","LAHAINA","Marine","dir_2013_2019",0
"Soft Bottom","LAHAINA","Marine","dir_2016_2019",0
"Soft Bottom","LAHAINA","Marine","pct_change_2013_2016",0
"Soft Bottom","LAHAINA","Marine","pct_change_2013_2019",0
"Soft Bottom","LAHAINA","Marine","pct_change_2016_2019",0
"Soft Bottom","MANA","Marine","area_km2_2013",6.35
"Soft Bottom","MANA","Marine","area_km2_2016",6.35
"Soft Bottom","MANA","Marine","area_km2_2019",6.35
"Soft Bottom","MANA","Marine","change_km2_2013_2016",0
"Soft Bottom","MANA","Marine","change_km2_2013_2019",0
"Soft Bottom","MANA","Marine","change_km2_2016_2019",0
"Soft Bottom","MANA","Marine","dir_2013_2016",0
"Soft Bottom","MANA","Marine","dir_2013_2019",0
"Soft Bottom","MANA","Marine","dir_2016_2019",0
"Soft Bottom","MANA","Marine","pct_change_2013_2016",0
"Soft Bottom","MANA","Marine","pct_change_2013_2019",0
"Soft Bottom","MANA","Marine","pct_change_2016_2019",0
"Soft Bottom","NAPALI","Marine","area_km2_2013",6.12
"Soft Bottom","NAPALI","Marine","area_km2_2016",6.12
"Soft Bottom","NAPALI","Marine","area_km2_2019",6.12
"Soft Bottom","NAPALI","Marine","change_km2_2013_2016",0
"Soft Bottom","NAPALI","Marine","change_km2_2013_2019",0
"Soft Bottom","NAPALI","Marine","change_km2_2016_2019",0
"Soft Bottom","NAPALI","Marine","dir_2013_2016",0
"Soft Bottom","NAPALI","Marine","dir_2013_2019",0
"Soft Bottom","NAPALI","Marine","dir_2016_2019",0
"Soft Bottom","NAPALI","Marine","pct_change_2013_2016",0
"Soft Bottom","NAPALI","Marine","pct_change_2013_2019",0
"Soft Bottom","NAPALI","Marine","pct_change_2016_2019",0
"Soft Bottom","PALAAU","Marine","area_km2_2013",5.77
"Soft Bottom","PALAAU","Marine","area_km2_2016",5.77
"Soft Bottom","PALAAU","Marine","area_km2_2019",5.77
"Soft Bottom","PALAAU","Marine","change_km2_2013_2016",0
"Soft Bottom","PALAAU","Marine","change_km2_2013_2019",0
"Soft Bottom","PALAAU","Marine","change_km2_2016_2019",0
"Soft Bottom","PALAAU","Marine","dir_2013_2016",0
"Soft Bottom","PALAAU","Marine","dir_2013_2019",0
"Soft Bottom","PALAAU","Marine","dir_2016_2019",0
"Soft Bottom","PALAAU","Marine","pct_change_2013_2016",0
"Soft Bottom","PALAAU","Marine","pct_change_2013_2019",0
"Soft Bottom","PALAAU","Marine","pct_change_2016_2019",0
